id,title,url
56,"The One Landscape Painting Tip You Really Need",https://youtube.com/watch?v=nGc8RhP-OZc&list=WL&index=56&pp=gAQBiAQB
57,"How To Analyze Movies – Film Studies 101",https://youtube.com/watch?v=ahHIifcFyqk&list=WL&index=57&pp=gAQBiAQB
58,"Create Your Own Retro TV Station with Raspberry Pi, VLC and Crontab",https://youtube.com/watch?v=jjX8NkeinLU&list=WL&index=58&pp=gAQBiAQB
59,"5 Things I Wish I Knew when I First Started Painting in Watercolor",https://youtube.com/watch?v=szviqCs2sJo&list=WL&index=59&pp=gAQBiAQB
60,"Work life Balance, Creativity, and a 10 year apprenticeship with Florian Gadsby | WAM CAST #0052",https://youtube.com/watch?v=R0PAEAtqx4w&list=WL&index=60&pp=gAQBiAQB
61,"Street Photography in Bad Light.",https://youtube.com/watch?v=Xle_dYEy1Dg&list=WL&index=61&pp=gAQBiAQB
62,"This Trick will make Your Videos look like Movies.",https://youtube.com/watch?v=IL3ruhfGTdM&list=WL&index=62&t=184s&pp=gAQBiAQB
63,"The Impact of chatGPT talks (2023) - Prof. Max Tegmark (MIT)",https://youtube.com/watch?v=RheZlFj3Zp8&list=WL&index=63&pp=gAQBiAQB
64,"How to Simplify a Complex Subject",https://youtube.com/watch?v=ykNsr4ITgL4&list=WL&index=64&pp=gAQBiAQB
65,"Panda Bear - Bros (HD Upscale)",https://youtube.com/watch?v=G1537NS9MCA&list=WL&index=65&pp=gAQBiAQB
66,"How to Control a Crowd",https://youtube.com/watch?v=C_B09FZwSbA&list=WL&index=66&pp=gAQBiAQB
67,"Ram's Head Wedging: Why and How To Ram's Head Wedge Clay",https://youtube.com/watch?v=r1GVb91z0gM&list=WL&index=67&pp=gAQBiAQB
68,"Animal Collective Live at Starlight Ballroom Philadelphia, PA 2007",https://youtube.com/watch?v=no2sncnaqr0&list=WL&index=68&pp=gAQBiAQB
69,"6 Inspiring Photographers & Projects",https://youtube.com/watch?v=x-rg4cRmM_U&list=WL&index=69&pp=gAQBiAQB
70,"Cymond's paracord bottle lanyard knot (tutorial)",https://youtube.com/watch?v=VklIuxtxYqk&list=WL&index=70&pp=gAQBiAQB
71,"Sharon Salzberg's Real Life Series with Duncan Trussell – Metta Hour Podcast Ep. 216",https://youtube.com/watch?v=EaqUwX3qtEY&list=WL&index=71&pp=gAQBiAQB
72,"The Importance of Documenting Your Life",https://youtube.com/watch?v=MYs0vM53MUE&list=WL&index=72&pp=gAQBiAQB
